#    L    TT             EE             TE             PP             TP          
   105    0.28353E+04    0.85588E+00   -0.26740E+02    0.46605E+07    0.58658E+04
   106    0.28674E+04    0.86965E+00   -0.27399E+02    0.46326E+07    0.57988E+04
   107    0.28994E+04    0.88310E+00   -0.28055E+02    0.46048E+07    0.57331E+04
   108    0.29318E+04    0.89631E+00   -0.28709E+02    0.45772E+07    0.56685E+04
   109    0.29643E+04    0.90921E+00   -0.29358E+02    0.45498E+07    0.56050E+04
   110    0.29969E+04    0.92180E+00   -0.30003E+02    0.45225E+07    0.55424E+04
   111    0.30297E+04    0.93414E+00   -0.30643E+02    0.44954E+07    0.54807E+04
   112    0.30626E+04    0.94617E+00   -0.31279E+02    0.44684E+07    0.54198E+04
   113    0.30958E+04    0.95789E+00   -0.31908E+02    0.44416E+07    0.53598E+04
   114    0.31290E+04    0.96921E+00   -0.32531E+02    0.44150E+07    0.53006E+04
   115    0.31624E+04    0.98030E+00   -0.33147E+02    0.43885E+07    0.52423E+04
   116    0.31959E+04    0.99092E+00   -0.33754E+02    0.43623E+07    0.51848E+04
   117    0.32296E+04    0.10011E+01   -0.34354E+02    0.43361E+07    0.51281E+04
   118    0.32635E+04    0.10111E+01   -0.34945E+02    0.43102E+07    0.50722E+04
   119    0.32974E+04    0.10207E+01   -0.35526E+02    0.42844E+07    0.50172E+04
   120    0.33314E+04    0.10298E+01   -0.36096E+02    0.42588E+07    0.49630E+04
   121    0.33654E+04    0.10386E+01   -0.36657E+02    0.42334E+07    0.49096E+04
   122    0.33995E+04    0.10469E+01   -0.37206E+02    0.42081E+07    0.48570E+04
   123    0.34337E+04    0.10547E+01   -0.37744E+02    0.41831E+07    0.48052E+04
   124    0.34679E+04    0.10621E+01   -0.38268E+02    0.41581E+07    0.47542E+04
   125    0.35020E+04    0.10691E+01   -0.38779E+02    0.41334E+07    0.47041E+04
   126    0.35363E+04    0.10756E+01   -0.39278E+02    0.41088E+07    0.46547E+04
   127    0.35705E+04    0.10817E+01   -0.39763E+02    0.40844E+07    0.46061E+04
   128    0.36047E+04    0.10873E+01   -0.40234E+02    0.40602E+07    0.45583E+04
   129    0.36389E+04    0.10924E+01   -0.40690E+02    0.40362E+07    0.45114E+04
   130    0.36732E+04    0.10969E+01   -0.41129E+02    0.40123E+07    0.44651E+04
   131    0.37074E+04    0.11011E+01   -0.41554E+02    0.39887E+07    0.44197E+04
   132    0.37416E+04    0.11047E+01   -0.41961E+02    0.39651E+07    0.43751E+04
   133    0.37758E+04    0.11079E+01   -0.42353E+02    0.39418E+07    0.43312E+04
   134    0.38099E+04    0.11105E+01   -0.42725E+02    0.39187E+07    0.42880E+04
   135    0.38440E+04    0.11127E+01   -0.43080E+02    0.38957E+07    0.42455E+04
   136    0.38780E+04    0.11143E+01   -0.43415E+02    0.38729E+07    0.42037E+04
   137    0.39119E+04    0.11154E+01   -0.43732E+02    0.38502E+07    0.41626E+04
   138    0.39457E+04    0.11160E+01   -0.44030E+02    0.38277E+07    0.41221E+04
   139    0.39793E+04    0.11163E+01   -0.44307E+02    0.38054E+07    0.40822E+04
   140    0.40130E+04    0.11159E+01   -0.44564E+02    0.37833E+07    0.40430E+04
   141    0.40464E+04    0.11150E+01   -0.44800E+02    0.37613E+07    0.40044E+04
   142    0.40798E+04    0.11136E+01   -0.45015E+02    0.37395E+07    0.39663E+04
   143    0.41131E+04    0.11117E+01   -0.45208E+02    0.37179E+07    0.39288E+04
   144    0.41462E+04    0.11094E+01   -0.45381E+02    0.36964E+07    0.38918E+04
   145    0.41791E+04    0.11066E+01   -0.45531E+02    0.36751E+07    0.38553E+04
   146    0.42121E+04    0.11033E+01   -0.45658E+02    0.36540E+07    0.38194E+04
   147    0.42447E+04    0.10995E+01   -0.45762E+02    0.36330E+07    0.37839E+04
   148    0.42772E+04    0.10952E+01   -0.45844E+02    0.36122E+07    0.37489E+04
   149    0.43096E+04    0.10905E+01   -0.45902E+02    0.35916E+07    0.37143E+04
   150    0.43417E+04    0.10854E+01   -0.45934E+02    0.35711E+07    0.36801E+04
   151    0.43736E+04    0.10799E+01   -0.45944E+02    0.35507E+07    0.36463E+04
   152    0.44053E+04    0.10738E+01   -0.45929E+02    0.35305E+07    0.36130E+04
   153    0.44368E+04    0.10673E+01   -0.45887E+02    0.35105E+07    0.35800E+04
   154    0.44680E+04    0.10605E+01   -0.45821E+02    0.34907E+07    0.35474E+04
   155    0.44990E+04    0.10533E+01   -0.45730E+02    0.34710E+07    0.35153E+04
   156    0.45297E+04    0.10457E+01   -0.45614E+02    0.34514E+07    0.34835E+04
   157    0.45603E+04    0.10377E+01   -0.45471E+02    0.34320E+07    0.34520E+04
   158    0.45905E+04    0.10294E+01   -0.45302E+02    0.34127E+07    0.34210E+04
   159    0.46205E+04    0.10207E+01   -0.45108E+02    0.33937E+07    0.33903E+04
   160    0.46502E+04    0.10117E+01   -0.44886E+02    0.33747E+07    0.33600E+04
   161    0.46797E+04    0.10025E+01   -0.44638E+02    0.33559E+07    0.33301E+04
   162    0.47089E+04    0.99294E+00   -0.44365E+02    0.33373E+07    0.33006E+04
   163    0.47379E+04    0.98306E+00   -0.44064E+02    0.33188E+07    0.32714E+04
   164    0.47664E+04    0.97297E+00   -0.43737E+02    0.33004E+07    0.32425E+04
   165    0.47948E+04    0.96258E+00   -0.43382E+02    0.32822E+07    0.32141E+04
