#    L    TT             EE             BB             TE             PP             TP             EP          
   215    0.56215E+04    0.76705E+00    0.23680E-02    0.73146E+01    0.54816E-07    0.12510E-03   -0.14478E-06
   216    0.56234E+04    0.78420E+00    0.23732E-02    0.88642E+01    0.54551E-07    0.12407E-03   -0.13038E-06
   217    0.56247E+04    0.80283E+00    0.23792E-02    0.10426E+02    0.54287E-07    0.12305E-03   -0.11604E-06
   218    0.56253E+04    0.82291E+00    0.23859E-02    0.12001E+02    0.54025E-07    0.12204E-03   -0.10175E-06
   219    0.56253E+04    0.84446E+00    0.23932E-02    0.13588E+02    0.53765E-07    0.12103E-03   -0.87525E-07
   220    0.56248E+04    0.86762E+00    0.24012E-02    0.15185E+02    0.53508E-07    0.12003E-03   -0.73354E-07
   221    0.56236E+04    0.89232E+00    0.24096E-02    0.16793E+02    0.53252E-07    0.11904E-03   -0.59237E-07
   222    0.56218E+04    0.91871E+00    0.24186E-02    0.18411E+02    0.52998E-07    0.11805E-03   -0.45174E-07
   223    0.56192E+04    0.94670E+00    0.24281E-02    0.20039E+02    0.52746E-07    0.11707E-03   -0.31164E-07
   224    0.56162E+04    0.97630E+00    0.24379E-02    0.21673E+02    0.52496E-07    0.11610E-03   -0.17206E-07
   225    0.56125E+04    0.10077E+01    0.24481E-02    0.23317E+02    0.52248E-07    0.11513E-03   -0.32982E-08
   226    0.56082E+04    0.10408E+01    0.24586E-02    0.24967E+02    0.52001E-07    0.11418E-03    0.10560E-07
   227    0.56033E+04    0.10757E+01    0.24693E-02    0.26624E+02    0.51757E-07    0.11323E-03    0.24369E-07
   228    0.55977E+04    0.11123E+01    0.24803E-02    0.28287E+02    0.51514E-07    0.11228E-03    0.38131E-07
   229    0.55916E+04    0.11507E+01    0.24914E-02    0.29954E+02    0.51273E-07    0.11135E-03    0.51847E-07
   230    0.55848E+04    0.11910E+01    0.25026E-02    0.31626E+02    0.51034E-07    0.11042E-03    0.65517E-07
