#    L    TT             EE             BB             TE          
   272    0.47948E+04    0.47882E+01    0.25359E-02    0.95978E+02
   273    0.47662E+04    0.49206E+01    0.25224E-02    0.97153E+02
   274    0.47373E+04    0.50553E+01    0.25083E-02    0.98290E+02
   275    0.47080E+04    0.51919E+01    0.24938E-02    0.99411E+02
   276    0.46786E+04    0.53304E+01    0.24789E-02    0.10049E+03
   277    0.46487E+04    0.54710E+01    0.24636E-02    0.10156E+03
   278    0.46186E+04    0.56135E+01    0.24478E-02    0.10259E+03
   279    0.45882E+04    0.57579E+01    0.24317E-02    0.10358E+03
   280    0.45575E+04    0.59041E+01    0.24152E-02    0.10456E+03
   281    0.45267E+04    0.60523E+01    0.23984E-02    0.10551E+03
   282    0.44954E+04    0.62021E+01    0.23813E-02    0.10642E+03
   283    0.44641E+04    0.63538E+01    0.23638E-02    0.10730E+03
   284    0.44325E+04    0.65072E+01    0.23461E-02    0.10815E+03
   285    0.44007E+04    0.66624E+01    0.23281E-02    0.10896E+03
   286    0.43687E+04    0.68192E+01    0.23099E-02    0.10974E+03
   287    0.43364E+04    0.69776E+01    0.22914E-02    0.11050E+03
   288    0.43040E+04    0.71377E+01    0.22728E-02    0.11122E+03
   289    0.42715E+04    0.72993E+01    0.22540E-02    0.11190E+03
   290    0.42387E+04    0.74622E+01    0.22350E-02    0.11256E+03
   291    0.42059E+04    0.76273E+01    0.22158E-02    0.11317E+03
   292    0.41726E+04    0.77934E+01    0.21965E-02    0.11375E+03
   293    0.41395E+04    0.79601E+01    0.21772E-02    0.11429E+03
   294    0.41062E+04    0.81289E+01    0.21577E-02    0.11481E+03
   295    0.40729E+04    0.82984E+01    0.21382E-02    0.11528E+03
   296    0.40394E+04    0.84699E+01    0.21186E-02    0.11572E+03
   297    0.40058E+04    0.86413E+01    0.20991E-02    0.11613E+03
   298    0.39720E+04    0.88148E+01    0.20795E-02    0.11649E+03
   299    0.39383E+04    0.89897E+01    0.20599E-02    0.11682E+03
   300    0.39044E+04    0.91644E+01    0.20404E-02    0.11711E+03
   301    0.38705E+04    0.93405E+01    0.20209E-02    0.11736E+03
   302    0.38366E+04    0.95171E+01    0.20014E-02    0.11759E+03
   303    0.38026E+04    0.96951E+01    0.19821E-02    0.11777E+03
   304    0.37687E+04    0.98745E+01    0.19628E-02    0.11790E+03
   305    0.37347E+04    0.10054E+02    0.19436E-02    0.11800E+03
   306    0.37007E+04    0.10233E+02    0.19245E-02    0.11807E+03
   307    0.36667E+04    0.10414E+02    0.19056E-02    0.11809E+03
   308    0.36328E+04    0.10596E+02    0.18867E-02    0.11808E+03
   309    0.35990E+04    0.10778E+02    0.18680E-02    0.11803E+03
   310    0.35651E+04    0.10959E+02    0.18493E-02    0.11794E+03
   311    0.35313E+04    0.11143E+02    0.18309E-02    0.11781E+03
   312    0.34976E+04    0.11325E+02    0.18126E-02    0.11765E+03
   313    0.34640E+04    0.11508E+02    0.17944E-02    0.11744E+03
   314    0.34304E+04    0.11692E+02    0.17764E-02    0.11720E+03
   315    0.33970E+04    0.11875E+02    0.17586E-02    0.11692E+03
   316    0.33636E+04    0.12058E+02    0.17409E-02    0.11660E+03
   317    0.33304E+04    0.12240E+02    0.17235E-02    0.11624E+03
   318    0.32972E+04    0.12424E+02    0.17062E-02    0.11585E+03
   319    0.32643E+04    0.12607E+02    0.16892E-02    0.11542E+03
   320    0.32315E+04    0.12790E+02    0.16724E-02    0.11495E+03
   321    0.31988E+04    0.12973E+02    0.16558E-02    0.11445E+03
