#    L    TT             EE             BB             TE          
   142    0.40837E+04    0.11332E+01    0.13361E-01   -0.45025E+02
   143    0.41168E+04    0.11313E+01    0.13315E-01   -0.45209E+02
   144    0.41497E+04    0.11288E+01    0.13271E-01   -0.45371E+02
   145    0.41824E+04    0.11259E+01    0.13229E-01   -0.45511E+02
   146    0.42152E+04    0.11225E+01    0.13190E-01   -0.45629E+02
   147    0.42476E+04    0.11187E+01    0.13153E-01   -0.45723E+02
   148    0.42799E+04    0.11143E+01    0.13119E-01   -0.45795E+02
   149    0.43121E+04    0.11095E+01    0.13087E-01   -0.45844E+02
   150    0.43440E+04    0.11043E+01    0.13059E-01   -0.45867E+02
   151    0.43758E+04    0.10987E+01    0.13034E-01   -0.45867E+02
   152    0.44072E+04    0.10925E+01    0.13011E-01   -0.45843E+02
   153    0.44386E+04    0.10860E+01    0.12992E-01   -0.45793E+02
   154    0.44697E+04    0.10791E+01    0.12976E-01   -0.45719E+02
   155    0.45005E+04    0.10718E+01    0.12963E-01   -0.45620E+02
   156    0.45310E+04    0.10642E+01    0.12954E-01   -0.45496E+02
   157    0.45614E+04    0.10562E+01    0.12947E-01   -0.45345E+02
   158    0.45916E+04    0.10479E+01    0.12944E-01   -0.45169E+02
   159    0.46214E+04    0.10392E+01    0.12945E-01   -0.44967E+02
   160    0.46509E+04    0.10302E+01    0.12949E-01   -0.44738E+02
   161    0.46803E+04    0.10209E+01    0.12956E-01   -0.44484E+02
   162    0.47093E+04    0.10113E+01    0.12966E-01   -0.44204E+02
   163    0.47382E+04    0.10015E+01    0.12980E-01   -0.43896E+02
   164    0.47666E+04    0.99137E+00    0.12998E-01   -0.43563E+02
   165    0.47948E+04    0.98100E+00    0.13019E-01   -0.43202E+02
   166    0.48228E+04    0.97050E+00    0.13044E-01   -0.42815E+02
   167    0.48504E+04    0.95964E+00    0.13072E-01   -0.42402E+02
   168    0.48777E+04    0.94880E+00    0.13104E-01   -0.41961E+02
   169    0.49046E+04    0.93769E+00    0.13140E-01   -0.41492E+02
   170    0.49311E+04    0.92652E+00    0.13180E-01   -0.40997E+02
   171    0.49573E+04    0.91530E+00    0.13223E-01   -0.40473E+02
   172    0.49830E+04    0.90395E+00    0.13270E-01   -0.39922E+02
   173    0.50082E+04    0.89248E+00    0.13321E-01   -0.39344E+02
   174    0.50331E+04    0.88119E+00    0.13375E-01   -0.38739E+02
   175    0.50576E+04    0.86977E+00    0.13434E-01   -0.38106E+02
   176    0.50816E+04    0.85846E+00    0.13496E-01   -0.37444E+02
   177    0.51052E+04    0.84718E+00    0.13562E-01   -0.36757E+02
   178    0.51282E+04    0.83615E+00    0.13632E-01   -0.36041E+02
   179    0.51508E+04    0.82508E+00    0.13706E-01   -0.35298E+02
   180    0.51731E+04    0.81419E+00    0.13783E-01   -0.34529E+02
   181    0.51948E+04    0.80349E+00    0.13864E-01   -0.33733E+02
   182    0.52161E+04    0.79306E+00    0.13948E-01   -0.32910E+02
   183    0.52368E+04    0.78280E+00    0.14036E-01   -0.32060E+02
   184    0.52571E+04    0.77282E+00    0.14127E-01   -0.31183E+02
   185    0.52769E+04    0.76325E+00    0.14222E-01   -0.30282E+02
   186    0.52959E+04    0.75395E+00    0.14320E-01   -0.29354E+02
   187    0.53147E+04    0.74507E+00    0.14421E-01   -0.28399E+02
   188    0.53330E+04    0.73660E+00    0.14525E-01   -0.27419E+02
   189    0.53506E+04    0.72857E+00    0.14632E-01   -0.26414E+02
   190    0.53681E+04    0.72103E+00    0.14743E-01   -0.25385E+02
   191    0.53847E+04    0.71402E+00    0.14856E-01   -0.24329E+02
   192    0.54008E+04    0.70755E+00    0.14972E-01   -0.23249E+02
   193    0.54164E+04    0.70167E+00    0.15091E-01   -0.22146E+02
   194    0.54315E+04    0.69641E+00    0.15213E-01   -0.21018E+02
   195    0.54460E+04    0.69181E+00    0.15337E-01   -0.19867E+02
   196    0.54599E+04    0.68791E+00    0.15464E-01   -0.18692E+02
   197    0.54734E+04    0.68476E+00    0.15594E-01   -0.17496E+02
   198    0.54863E+04    0.68238E+00    0.15726E-01   -0.16276E+02
   199    0.54986E+04    0.68080E+00    0.15860E-01   -0.15035E+02
   200    0.55104E+04    0.68006E+00    0.15997E-01   -0.13773E+02
   201    0.55216E+04    0.68022E+00    0.16136E-01   -0.12488E+02
   202    0.55323E+04    0.68129E+00    0.16277E-01   -0.11184E+02
   203    0.55423E+04    0.68332E+00    0.16420E-01   -0.98580E+01
   204    0.55517E+04    0.68634E+00    0.16566E-01   -0.85142E+01
   205    0.55605E+04    0.69038E+00    0.16714E-01   -0.71500E+01
   206    0.55686E+04    0.69550E+00    0.16863E-01   -0.57669E+01
   207    0.55762E+04    0.70170E+00    0.17015E-01   -0.43653E+01
   208    0.55830E+04    0.70903E+00    0.17168E-01   -0.29457E+01
   209    0.55892E+04    0.71753E+00    0.17323E-01   -0.15085E+01
   210    0.55948E+04    0.72724E+00    0.17480E-01   -0.54686E-01
   211    0.55998E+04    0.73819E+00    0.17638E-01    0.14157E+01
   212    0.56040E+04    0.75041E+00    0.17798E-01    0.29016E+01
   213    0.56077E+04    0.76394E+00    0.17960E-01    0.44032E+01
   214    0.56107E+04    0.77878E+00    0.18123E-01    0.59191E+01
   215    0.56131E+04    0.79511E+00    0.18287E-01    0.74486E+01
   216    0.56148E+04    0.81275E+00    0.18453E-01    0.89922E+01
   217    0.56160E+04    0.83185E+00    0.18620E-01    0.10548E+02
   218    0.56165E+04    0.85242E+00    0.18789E-01    0.12116E+02
   219    0.56164E+04    0.87445E+00    0.18958E-01    0.13697E+02
   220    0.56157E+04    0.89809E+00    0.19129E-01    0.15287E+02
   221    0.56144E+04    0.92326E+00    0.19300E-01    0.16887E+02
   222    0.56125E+04    0.95012E+00    0.19473E-01    0.18497E+02
   223    0.56098E+04    0.97858E+00    0.19646E-01    0.20117E+02
   224    0.56066E+04    0.10087E+01    0.19820E-01    0.21744E+02
   225    0.56028E+04    0.10405E+01    0.19995E-01    0.23380E+02
   226    0.55984E+04    0.10740E+01    0.20171E-01    0.25021E+02
   227    0.55933E+04    0.11094E+01    0.20347E-01    0.26669E+02
   228    0.55877E+04    0.11465E+01    0.20524E-01    0.28323E+02
   229    0.55815E+04    0.11854E+01    0.20701E-01    0.29981E+02
   230    0.55746E+04    0.12261E+01    0.20879E-01    0.31644E+02
   231    0.55670E+04    0.12687E+01    0.21057E-01    0.33310E+02
   232    0.55589E+04    0.13131E+01    0.21235E-01    0.34979E+02
   233    0.55501E+04    0.13596E+01    0.21413E-01    0.36649E+02
   234    0.55407E+04    0.14080E+01    0.21592E-01    0.38320E+02
   235    0.55307E+04    0.14583E+01    0.21770E-01    0.39992E+02
   236    0.55200E+04    0.15106E+01    0.21949E-01    0.41664E+02
   237    0.55088E+04    0.15649E+01    0.22127E-01    0.43334E+02
   238    0.54969E+04    0.16214E+01    0.22306E-01    0.45003E+02
   239    0.54845E+04    0.16798E+01    0.22484E-01    0.46669E+02
   240    0.54714E+04    0.17402E+01    0.22661E-01    0.48331E+02
   241    0.54578E+04    0.18029E+01    0.22839E-01    0.49990E+02
   242    0.54437E+04    0.18675E+01    0.23016E-01    0.51644E+02
   243    0.54289E+04    0.19344E+01    0.23192E-01    0.53291E+02
   244    0.54135E+04    0.20033E+01    0.23368E-01    0.54934E+02
   245    0.53976E+04    0.20744E+01    0.23543E-01    0.56568E+02
   246    0.53811E+04    0.21477E+01    0.23718E-01    0.58196E+02
   247    0.53641E+04    0.22231E+01    0.23891E-01    0.59814E+02
   248    0.53465E+04    0.23009E+01    0.24064E-01    0.61423E+02
   249    0.53284E+04    0.23807E+01    0.24236E-01    0.63022E+02
   250    0.53098E+04    0.24629E+01    0.24407E-01    0.64610E+02
   251    0.52907E+04    0.25472E+01    0.24576E-01    0.66188E+02
   252    0.52710E+04    0.26338E+01    0.24745E-01    0.67753E+02
   253    0.52509E+04    0.27225E+01    0.24913E-01    0.69304E+02
   254    0.52303E+04    0.28136E+01    0.25079E-01    0.70842E+02
   255    0.52092E+04    0.29068E+01    0.25244E-01    0.72366E+02
   256    0.51876E+04    0.30024E+01    0.25409E-01    0.73877E+02
   257    0.51655E+04    0.31000E+01    0.25572E-01    0.75366E+02
