#    L    TT             EE             BB             TE          
   156    0.59350E-02    0.57913E-04    0.25697E-04   -0.20756E-03
   157    0.56706E-02    0.56794E-04    0.25115E-04   -0.18378E-03
   158    0.54324E-02    0.55678E-04    0.24544E-04   -0.16086E-03
   159    0.52195E-02    0.54564E-04    0.23985E-04   -0.13881E-03
   160    0.50308E-02    0.53455E-04    0.23438E-04   -0.11762E-03
   161    0.48652E-02    0.52350E-04    0.22903E-04   -0.97286E-04
   162    0.47219E-02    0.51250E-04    0.22380E-04   -0.77806E-04
   163    0.45998E-02    0.50156E-04    0.21869E-04   -0.59174E-04
   164    0.44978E-02    0.49069E-04    0.21371E-04   -0.41387E-04
   165    0.44150E-02    0.47990E-04    0.20886E-04   -0.24440E-04
   166    0.43504E-02    0.46919E-04    0.20414E-04   -0.83293E-05
   167    0.43028E-02    0.45857E-04    0.19954E-04    0.69497E-05
   168    0.42714E-02    0.44805E-04    0.19508E-04    0.21401E-04
   169    0.42551E-02    0.43764E-04    0.19075E-04    0.35029E-04
   170    0.42529E-02    0.42734E-04    0.18656E-04    0.47838E-04
   171    0.42637E-02    0.41716E-04    0.18250E-04    0.59832E-04
   172    0.42866E-02    0.40710E-04    0.17859E-04    0.71015E-04
   173    0.43206E-02    0.39719E-04    0.17481E-04    0.81391E-04
   174    0.43646E-02    0.38741E-04    0.17118E-04    0.90965E-04
   175    0.44176E-02    0.37779E-04    0.16769E-04    0.99741E-04
   176    0.44787E-02    0.36832E-04    0.16434E-04    0.10773E-03
   177    0.45473E-02    0.35902E-04    0.16114E-04    0.11494E-03
   178    0.46228E-02    0.34988E-04    0.15808E-04    0.12141E-03
   179    0.47045E-02    0.34091E-04    0.15515E-04    0.12715E-03
   180    0.47921E-02    0.33212E-04    0.15237E-04    0.13220E-03
   181    0.48848E-02    0.32350E-04    0.14971E-04    0.13657E-03
   182    0.49822E-02    0.31506E-04    0.14718E-04    0.14029E-03
   183    0.50836E-02    0.30681E-04    0.14478E-04    0.14339E-03
   184    0.51886E-02    0.29874E-04    0.14250E-04    0.14588E-03
   185    0.52965E-02    0.29086E-04    0.14034E-04    0.14779E-03
   186    0.54068E-02    0.28318E-04    0.13830E-04    0.14914E-03
   187    0.55189E-02    0.27570E-04    0.13638E-04    0.14996E-03
   188    0.56323E-02    0.26842E-04    0.13457E-04    0.15028E-03
   189    0.57463E-02    0.26135E-04    0.13287E-04    0.15011E-03
   190    0.58606E-02    0.25448E-04    0.13128E-04    0.14948E-03
   191    0.59743E-02    0.24783E-04    0.12979E-04    0.14841E-03
   192    0.60871E-02    0.24140E-04    0.12840E-04    0.14693E-03
   193    0.61984E-02    0.23519E-04    0.12711E-04    0.14506E-03
   194    0.63075E-02    0.22920E-04    0.12592E-04    0.14282E-03
   195    0.64140E-02    0.22344E-04    0.12482E-04    0.14024E-03
   196    0.65172E-02    0.21791E-04    0.12382E-04    0.13735E-03
   197    0.66166E-02    0.21262E-04    0.12290E-04    0.13416E-03
   198    0.67116E-02    0.20757E-04    0.12206E-04    0.13070E-03
   199    0.68017E-02    0.20276E-04    0.12131E-04    0.12699E-03
   200    0.68863E-02    0.19819E-04    0.12064E-04    0.12306E-03
   201    0.69650E-02    0.19388E-04    0.12004E-04    0.11893E-03
   202    0.70378E-02    0.18981E-04    0.11952E-04    0.11462E-03
   203    0.71046E-02    0.18598E-04    0.11907E-04    0.11012E-03
   204    0.71658E-02    0.18239E-04    0.11869E-04    0.10545E-03
   205    0.72213E-02    0.17902E-04    0.11838E-04    0.10062E-03
   206    0.72712E-02    0.17588E-04    0.11813E-04    0.95644E-04
   207    0.73158E-02    0.17296E-04    0.11795E-04    0.90526E-04
   208    0.73549E-02    0.17026E-04    0.11782E-04    0.85278E-04
   209    0.73889E-02    0.16776E-04    0.11775E-04    0.79910E-04
   210    0.74177E-02    0.16547E-04    0.11774E-04    0.74430E-04
   211    0.74415E-02    0.16338E-04    0.11777E-04    0.68849E-04
   212    0.74604E-02    0.16148E-04    0.11786E-04    0.63177E-04
   213    0.74745E-02    0.15978E-04    0.11800E-04    0.57423E-04
   214    0.74838E-02    0.15825E-04    0.11818E-04    0.51597E-04
   215    0.74885E-02    0.15691E-04    0.11840E-04    0.45709E-04
   216    0.74887E-02    0.15574E-04    0.11866E-04    0.39769E-04
   217    0.74845E-02    0.15473E-04    0.11896E-04    0.33787E-04
   218    0.74760E-02    0.15389E-04    0.11929E-04    0.27771E-04
