#    L    TT             EE             BB             TE             PP             TP             EP          
   146    0.42122E+04    0.11039E+01    0.32111E-03   -0.45663E+02    0.79364E-07    0.22533E-03   -0.11023E-05
   147    0.42448E+04    0.11002E+01    0.31425E-03   -0.45767E+02    0.78901E-07    0.22322E-03   -0.10995E-05
   148    0.42773E+04    0.10959E+01    0.30748E-03   -0.45848E+02    0.78442E-07    0.22114E-03   -0.10959E-05
   149    0.43097E+04    0.10912E+01    0.30081E-03   -0.45906E+02    0.77987E-07    0.21908E-03   -0.10915E-05
   150    0.43418E+04    0.10861E+01    0.29423E-03   -0.45938E+02    0.77535E-07    0.21705E-03   -0.10861E-05
   151    0.43737E+04    0.10805E+01    0.28775E-03   -0.45947E+02    0.77086E-07    0.21505E-03   -0.10800E-05
   152    0.44053E+04    0.10744E+01    0.28138E-03   -0.45932E+02    0.76642E-07    0.21306E-03   -0.10731E-05
   153    0.44368E+04    0.10679E+01    0.27511E-03   -0.45890E+02    0.76201E-07    0.21111E-03   -0.10654E-05
   154    0.44681E+04    0.10611E+01    0.26895E-03   -0.45824E+02    0.75763E-07    0.20917E-03   -0.10570E-05
   155    0.44991E+04    0.10538E+01    0.26291E-03   -0.45732E+02    0.75329E-07    0.20726E-03   -0.10478E-05
   156    0.45298E+04    0.10462E+01    0.25697E-03   -0.45616E+02    0.74898E-07    0.20537E-03   -0.10381E-05
   157    0.45603E+04    0.10383E+01    0.25115E-03   -0.45473E+02    0.74471E-07    0.20351E-03   -0.10277E-05
   158    0.45906E+04    0.10300E+01    0.24544E-03   -0.45304E+02    0.74048E-07    0.20167E-03   -0.10166E-05
   159    0.46206E+04    0.10213E+01    0.23985E-03   -0.45109E+02    0.73628E-07    0.19985E-03   -0.10051E-05
   160    0.46503E+04    0.10123E+01    0.23438E-03   -0.44887E+02    0.73211E-07    0.19805E-03   -0.99296E-06
   161    0.46798E+04    0.10030E+01    0.22903E-03   -0.44639E+02    0.72798E-07    0.19628E-03   -0.98035E-06
   162    0.47089E+04    0.99345E+00    0.22380E-03   -0.44366E+02    0.72388E-07    0.19452E-03   -0.96728E-06
   163    0.47379E+04    0.98356E+00    0.21869E-03   -0.44064E+02    0.71981E-07    0.19279E-03   -0.95376E-06
   164    0.47665E+04    0.97346E+00    0.21371E-03   -0.43737E+02    0.71577E-07    0.19108E-03   -0.93985E-06
   165    0.47949E+04    0.96306E+00    0.20886E-03   -0.43382E+02    0.71177E-07    0.18939E-03   -0.92556E-06
   166    0.48229E+04    0.95253E+00    0.20414E-03   -0.43000E+02    0.70781E-07    0.18772E-03   -0.91094E-06
   167    0.48508E+04    0.94163E+00    0.19954E-03   -0.42593E+02    0.70387E-07    0.18608E-03   -0.89600E-06
   168    0.48781E+04    0.93074E+00    0.19508E-03   -0.42157E+02    0.69997E-07    0.18445E-03   -0.88080E-06
   169    0.49051E+04    0.91957E+00    0.19075E-03   -0.41693E+02    0.69610E-07    0.18285E-03   -0.86535E-06
   170    0.49319E+04    0.90833E+00    0.18656E-03   -0.41202E+02    0.69226E-07    0.18126E-03   -0.84970E-06
   171    0.49581E+04    0.89703E+00    0.18250E-03   -0.40683E+02    0.68845E-07    0.17969E-03   -0.83386E-06
   172    0.49839E+04    0.88560E+00    0.17859E-03   -0.40136E+02    0.68467E-07    0.17815E-03   -0.81789E-06
   173    0.50093E+04    0.87404E+00    0.17481E-03   -0.39561E+02    0.68093E-07    0.17662E-03   -0.80180E-06
   174    0.50344E+04    0.86264E+00    0.17118E-03   -0.38959E+02    0.67721E-07    0.17512E-03   -0.78563E-06
   175    0.50590E+04    0.85111E+00    0.16769E-03   -0.38329E+02    0.67353E-07    0.17363E-03   -0.76942E-06
   176    0.50831E+04    0.83967E+00    0.16434E-03   -0.37671E+02    0.66988E-07    0.17216E-03   -0.75319E-06
   177    0.51068E+04    0.82826E+00    0.16114E-03   -0.36987E+02    0.66625E-07    0.17071E-03   -0.73694E-06
   178    0.51300E+04    0.81709E+00    0.15808E-03   -0.36274E+02    0.66266E-07    0.16928E-03   -0.72069E-06
   179    0.51527E+04    0.80586E+00    0.15515E-03   -0.35533E+02    0.65910E-07    0.16786E-03   -0.70443E-06
   180    0.51751E+04    0.79482E+00    0.15237E-03   -0.34765E+02    0.65556E-07    0.16647E-03   -0.68818E-06
   181    0.51970E+04    0.78394E+00    0.14971E-03   -0.33971E+02    0.65206E-07    0.16509E-03   -0.67192E-06
   182    0.52184E+04    0.77332E+00    0.14718E-03   -0.33149E+02    0.64858E-07    0.16372E-03   -0.65568E-06
   183    0.52392E+04    0.76288E+00    0.14478E-03   -0.32301E+02    0.64513E-07    0.16237E-03   -0.63944E-06
   184    0.52597E+04    0.75269E+00    0.14250E-03   -0.31425E+02    0.64171E-07    0.16104E-03   -0.62323E-06
   185    0.52796E+04    0.74290E+00    0.14034E-03   -0.30524E+02    0.63832E-07    0.15972E-03   -0.60702E-06
   186    0.52988E+04    0.73338E+00    0.13830E-03   -0.29596E+02    0.63496E-07    0.15842E-03   -0.59084E-06
   187    0.53177E+04    0.72427E+00    0.13638E-03   -0.28641E+02    0.63162E-07    0.15713E-03   -0.57469E-06
   188    0.53361E+04    0.71555E+00    0.13457E-03   -0.27662E+02    0.62831E-07    0.15585E-03   -0.55856E-06
   189    0.53539E+04    0.70726E+00    0.13287E-03   -0.26656E+02    0.62503E-07    0.15459E-03   -0.54247E-06
   190    0.53715E+04    0.69947E+00    0.13128E-03   -0.25626E+02    0.62177E-07    0.15334E-03   -0.52641E-06
   191    0.53882E+04    0.69218E+00    0.12979E-03   -0.24570E+02    0.61854E-07    0.15210E-03   -0.51040E-06
   192    0.54045E+04    0.68542E+00    0.12840E-03   -0.23488E+02    0.61533E-07    0.15087E-03   -0.49442E-06
   193    0.54201E+04    0.67925E+00    0.12711E-03   -0.22384E+02    0.61215E-07    0.14966E-03   -0.47850E-06
   194    0.54354E+04    0.67369E+00    0.12592E-03   -0.21254E+02    0.60900E-07    0.14845E-03   -0.46262E-06
   195    0.54501E+04    0.66878E+00    0.12482E-03   -0.20101E+02    0.60587E-07    0.14726E-03   -0.44680E-06
   196    0.54641E+04    0.66456E+00    0.12382E-03   -0.18924E+02    0.60277E-07    0.14608E-03   -0.43104E-06
   197    0.54777E+04    0.66107E+00    0.12290E-03   -0.17725E+02    0.59969E-07    0.14490E-03   -0.41534E-06
   198    0.54907E+04    0.65834E+00    0.12206E-03   -0.16503E+02    0.59663E-07    0.14374E-03   -0.39970E-06
   199    0.55032E+04    0.65641E+00    0.12131E-03   -0.15259E+02    0.59360E-07    0.14258E-03   -0.38414E-06
   200    0.55152E+04    0.65531E+00    0.12064E-03   -0.13993E+02    0.59059E-07    0.14143E-03   -0.36864E-06
   201    0.55265E+04    0.65511E+00    0.12004E-03   -0.12706E+02    0.58761E-07    0.14029E-03   -0.35322E-06
   202    0.55373E+04    0.65579E+00    0.11952E-03   -0.11397E+02    0.58465E-07    0.13916E-03   -0.33788E-06
   203    0.55475E+04    0.65744E+00    0.11907E-03   -0.10068E+02    0.58171E-07    0.13803E-03   -0.32261E-06
   204    0.55570E+04    0.66006E+00    0.11869E-03   -0.87196E+01    0.57879E-07    0.13691E-03   -0.30742E-06
   205    0.55660E+04    0.66370E+00    0.11838E-03   -0.73510E+01    0.57590E-07    0.13580E-03   -0.29229E-06
   206    0.55742E+04    0.66841E+00    0.11813E-03   -0.59632E+01    0.57303E-07    0.13470E-03   -0.27724E-06
   207    0.55820E+04    0.67419E+00    0.11795E-03   -0.45566E+01    0.57018E-07    0.13360E-03   -0.26226E-06
   208    0.55889E+04    0.68111E+00    0.11782E-03   -0.31318E+01    0.56735E-07    0.13251E-03   -0.24734E-06
   209    0.55953E+04    0.68918E+00    0.11775E-03   -0.16892E+01    0.56455E-07    0.13143E-03   -0.23250E-06
   210    0.56010E+04    0.69845E+00    0.11774E-03   -0.22966E+00    0.56176E-07    0.13036E-03   -0.21772E-06
   211    0.56062E+04    0.70896E+00    0.11777E-03    0.12467E+01    0.55900E-07    0.12929E-03   -0.20300E-06
   212    0.56105E+04    0.72073E+00    0.11786E-03    0.27388E+01    0.55626E-07    0.12823E-03   -0.18835E-06
   213    0.56144E+04    0.73381E+00    0.11800E-03    0.42468E+01    0.55354E-07    0.12718E-03   -0.17377E-06
   214    0.56175E+04    0.74819E+00    0.11818E-03    0.57694E+01    0.55084E-07    0.12614E-03   -0.15925E-06
   215    0.56201E+04    0.76407E+00    0.11840E-03    0.73059E+01    0.54816E-07    0.12510E-03   -0.14478E-06
   216    0.56219E+04    0.78125E+00    0.11866E-03    0.88567E+01    0.54551E-07    0.12407E-03   -0.13038E-06
   217    0.56233E+04    0.79989E+00    0.11896E-03    0.10420E+02    0.54287E-07    0.12305E-03   -0.11604E-06
   218    0.56239E+04    0.81999E+00    0.11929E-03    0.11995E+02    0.54025E-07    0.12204E-03   -0.10175E-06
   219    0.56239E+04    0.84155E+00    0.11966E-03    0.13584E+02    0.53765E-07    0.12103E-03   -0.87525E-07
   220    0.56234E+04    0.86472E+00    0.12006E-03    0.15182E+02    0.53508E-07    0.12003E-03   -0.73354E-07
   221    0.56222E+04    0.88943E+00    0.12048E-03    0.16791E+02    0.53252E-07    0.11904E-03   -0.59237E-07
   222    0.56204E+04    0.91582E+00    0.12093E-03    0.18410E+02    0.52998E-07    0.11805E-03   -0.45174E-07
   223    0.56178E+04    0.94381E+00    0.12140E-03    0.20039E+02    0.52746E-07    0.11707E-03   -0.31164E-07
   224    0.56148E+04    0.97341E+00    0.12190E-03    0.21675E+02    0.52496E-07    0.11610E-03   -0.17206E-07
   225    0.56111E+04    0.10048E+01    0.12240E-03    0.23320E+02    0.52248E-07    0.11513E-03   -0.32982E-08
   226    0.56069E+04    0.10379E+01    0.12293E-03    0.24971E+02    0.52001E-07    0.11418E-03    0.10560E-07
   227    0.56019E+04    0.10727E+01    0.12347E-03    0.26629E+02    0.51757E-07    0.11323E-03    0.24369E-07
   228    0.55964E+04    0.11094E+01    0.12401E-03    0.28293E+02    0.51514E-07    0.11228E-03    0.38131E-07
   229    0.55903E+04    0.11478E+01    0.12457E-03    0.29961E+02    0.51273E-07    0.11135E-03    0.51847E-07
   230    0.55835E+04    0.11881E+01    0.12513E-03    0.31634E+02    0.51034E-07    0.11042E-03    0.65517E-07
