#    L    TT             EE             BB             TE          
   120    0.33318E+04    0.10307E+01    0.51054E-03   -0.36112E+02
   121    0.33658E+04    0.10395E+01    0.50356E-03   -0.36672E+02
   122    0.33999E+04    0.10478E+01    0.49648E-03   -0.37221E+02
   123    0.34340E+04    0.10556E+01    0.48934E-03   -0.37758E+02
   124    0.34682E+04    0.10630E+01    0.48212E-03   -0.38281E+02
   125    0.35024E+04    0.10700E+01    0.47485E-03   -0.38793E+02
   126    0.35366E+04    0.10765E+01    0.46752E-03   -0.39291E+02
   127    0.35708E+04    0.10825E+01    0.46015E-03   -0.39776E+02
   128    0.36050E+04    0.10882E+01    0.45275E-03   -0.40246E+02
   129    0.36392E+04    0.10932E+01    0.44532E-03   -0.40701E+02
   130    0.36734E+04    0.10978E+01    0.43787E-03   -0.41140E+02
   131    0.37076E+04    0.11019E+01    0.43040E-03   -0.41564E+02
   132    0.37418E+04    0.11055E+01    0.42294E-03   -0.41971E+02
   133    0.37760E+04    0.11087E+01    0.41547E-03   -0.42363E+02
   134    0.38101E+04    0.11113E+01    0.40802E-03   -0.42734E+02
   135    0.38442E+04    0.11135E+01    0.40057E-03   -0.43089E+02
   136    0.38781E+04    0.11151E+01    0.39314E-03   -0.43424E+02
   137    0.39121E+04    0.11162E+01    0.38574E-03   -0.43740E+02
   138    0.39459E+04    0.11168E+01    0.37836E-03   -0.44037E+02
   139    0.39795E+04    0.11170E+01    0.37103E-03   -0.44314E+02
   140    0.40131E+04    0.11166E+01    0.36373E-03   -0.44571E+02
   141    0.40465E+04    0.11157E+01    0.35647E-03   -0.44806E+02
   142    0.40799E+04    0.11143E+01    0.34927E-03   -0.45021E+02
   143    0.41132E+04    0.11125E+01    0.34213E-03   -0.45214E+02
   144    0.41463E+04    0.11101E+01    0.33505E-03   -0.45386E+02
   145    0.41792E+04    0.11073E+01    0.32804E-03   -0.45536E+02
   146    0.42122E+04    0.11039E+01    0.32111E-03   -0.45663E+02
   147    0.42448E+04    0.11002E+01    0.31425E-03   -0.45767E+02
   148    0.42773E+04    0.10959E+01    0.30748E-03   -0.45848E+02
   149    0.43097E+04    0.10912E+01    0.30081E-03   -0.45906E+02
   150    0.43418E+04    0.10861E+01    0.29423E-03   -0.45938E+02
   151    0.43737E+04    0.10805E+01    0.28775E-03   -0.45947E+02
   152    0.44053E+04    0.10744E+01    0.28138E-03   -0.45932E+02
   153    0.44368E+04    0.10679E+01    0.27511E-03   -0.45890E+02
   154    0.44681E+04    0.10611E+01    0.26895E-03   -0.45824E+02
   155    0.44991E+04    0.10538E+01    0.26291E-03   -0.45732E+02
   156    0.45298E+04    0.10462E+01    0.25697E-03   -0.45616E+02
   157    0.45603E+04    0.10383E+01    0.25115E-03   -0.45473E+02
