#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  4448    0.64158E+00   -0.28921E-01    0.81651E-11   -0.28921E-01    0.22755E-01   -0.58308E-14    0.81651E-11   -0.58308E-14    0.12968E-16
  4449    0.64037E+00   -0.28984E-01    0.81567E-11   -0.28984E-01    0.22707E-01   -0.51743E-14    0.81567E-11   -0.51743E-14    0.12955E-16
  4450    0.63916E+00   -0.29046E-01    0.81483E-11   -0.29046E-01    0.22659E-01   -0.45180E-14    0.81483E-11   -0.45180E-14    0.12942E-16
  4451    0.63795E+00   -0.29107E-01    0.81398E-11   -0.29107E-01    0.22608E-01   -0.38619E-14    0.81398E-11   -0.38619E-14    0.12930E-16
  4452    0.63674E+00   -0.29166E-01    0.81313E-11   -0.29166E-01    0.22558E-01   -0.32062E-14    0.81313E-11   -0.32062E-14    0.12917E-16
  4453    0.63555E+00   -0.29223E-01    0.81228E-11   -0.29223E-01    0.22506E-01   -0.25508E-14    0.81228E-11   -0.25508E-14    0.12904E-16
  4454    0.63437E+00   -0.29278E-01    0.81142E-11   -0.29278E-01    0.22455E-01   -0.18960E-14    0.81142E-11   -0.18960E-14    0.12891E-16
  4455    0.63321E+00   -0.29334E-01    0.81056E-11   -0.29334E-01    0.22402E-01   -0.12416E-14    0.81056E-11   -0.12416E-14    0.12878E-16
  4456    0.63205E+00   -0.29386E-01    0.80970E-11   -0.29386E-01    0.22348E-01   -0.58795E-15    0.80970E-11   -0.58795E-15    0.12865E-16
  4457    0.63088E+00   -0.29436E-01    0.80883E-11   -0.29436E-01    0.22294E-01    0.65041E-16    0.80883E-11    0.65041E-16    0.12853E-16
  4458    0.62972E+00   -0.29484E-01    0.80796E-11   -0.29484E-01    0.22240E-01    0.71726E-15    0.80796E-11    0.71726E-15    0.12840E-16
  4459    0.62858E+00   -0.29532E-01    0.80709E-11   -0.29532E-01    0.22185E-01    0.13686E-14    0.80709E-11    0.13686E-14    0.12827E-16
  4460    0.62744E+00   -0.29577E-01    0.80621E-11   -0.29577E-01    0.22129E-01    0.20191E-14    0.80621E-11    0.20191E-14    0.12814E-16
  4461    0.62631E+00   -0.29620E-01    0.80533E-11   -0.29620E-01    0.22072E-01    0.26685E-14    0.80533E-11    0.26685E-14    0.12802E-16
  4462    0.62517E+00   -0.29661E-01    0.80445E-11   -0.29661E-01    0.22014E-01    0.33169E-14    0.80445E-11    0.33169E-14    0.12789E-16
  4463    0.62404E+00   -0.29700E-01    0.80356E-11   -0.29700E-01    0.21956E-01    0.39641E-14    0.80356E-11    0.39641E-14    0.12776E-16
  4464    0.62293E+00   -0.29738E-01    0.80267E-11   -0.29738E-01    0.21898E-01    0.46102E-14    0.80267E-11    0.46102E-14    0.12764E-16
  4465    0.62181E+00   -0.29772E-01    0.80178E-11   -0.29772E-01    0.21837E-01    0.52549E-14    0.80178E-11    0.52549E-14    0.12751E-16
  4466    0.62070E+00   -0.29805E-01    0.80089E-11   -0.29805E-01    0.21778E-01    0.58982E-14    0.80089E-11    0.58982E-14    0.12738E-16
  4467    0.61960E+00   -0.29837E-01    0.79999E-11   -0.29837E-01    0.21716E-01    0.65401E-14    0.79999E-11    0.65401E-14    0.12726E-16
  4468    0.61850E+00   -0.29865E-01    0.79909E-11   -0.29865E-01    0.21655E-01    0.71805E-14    0.79909E-11    0.71805E-14    0.12713E-16
  4469    0.61740E+00   -0.29893E-01    0.79818E-11   -0.29893E-01    0.21593E-01    0.78193E-14    0.79818E-11    0.78193E-14    0.12700E-16
  4470    0.61631E+00   -0.29918E-01    0.79728E-11   -0.29918E-01    0.21529E-01    0.84565E-14    0.79728E-11    0.84565E-14    0.12688E-16
  4471    0.61522E+00   -0.29939E-01    0.79637E-11   -0.29939E-01    0.21466E-01    0.90919E-14    0.79637E-11    0.90919E-14    0.12675E-16
  4472    0.61415E+00   -0.29960E-01    0.79545E-11   -0.29960E-01    0.21402E-01    0.97254E-14    0.79545E-11    0.97254E-14    0.12663E-16
  4473    0.61306E+00   -0.29978E-01    0.79454E-11   -0.29978E-01    0.21337E-01    0.10357E-13    0.79454E-11    0.10357E-13    0.12650E-16
  4474    0.61199E+00   -0.29994E-01    0.79362E-11   -0.29994E-01    0.21272E-01    0.10987E-13    0.79362E-11    0.10987E-13    0.12638E-16
  4475    0.61092E+00   -0.30009E-01    0.79270E-11   -0.30009E-01    0.21207E-01    0.11615E-13    0.79270E-11    0.11615E-13    0.12625E-16
  4476    0.60986E+00   -0.30020E-01    0.79178E-11   -0.30020E-01    0.21140E-01    0.12240E-13    0.79178E-11    0.12240E-13    0.12613E-16
  4477    0.60880E+00   -0.30029E-01    0.79085E-11   -0.30029E-01    0.21074E-01    0.12864E-13    0.79085E-11    0.12864E-13    0.12600E-16
  4478    0.60773E+00   -0.30036E-01    0.78992E-11   -0.30036E-01    0.21006E-01    0.13485E-13    0.78992E-11    0.13485E-13    0.12588E-16
  4479    0.60668E+00   -0.30040E-01    0.78899E-11   -0.30040E-01    0.20939E-01    0.14103E-13    0.78899E-11    0.14103E-13    0.12575E-16
  4480    0.60563E+00   -0.30042E-01    0.78806E-11   -0.30042E-01    0.20870E-01    0.14720E-13    0.78806E-11    0.14720E-13    0.12563E-16
  4481    0.60456E+00   -0.30042E-01    0.78713E-11   -0.30042E-01    0.20801E-01    0.15334E-13    0.78713E-11    0.15334E-13    0.12550E-16
  4482    0.60352E+00   -0.30039E-01    0.78619E-11   -0.30039E-01    0.20732E-01    0.15945E-13    0.78619E-11    0.15945E-13    0.12538E-16
  4483    0.60247E+00   -0.30034E-01    0.78525E-11   -0.30034E-01    0.20662E-01    0.16554E-13    0.78525E-11    0.16554E-13    0.12526E-16
  4484    0.60142E+00   -0.30026E-01    0.78430E-11   -0.30026E-01    0.20590E-01    0.17160E-13    0.78430E-11    0.17160E-13    0.12513E-16
  4485    0.60037E+00   -0.30016E-01    0.78336E-11   -0.30016E-01    0.20518E-01    0.17763E-13    0.78336E-11    0.17763E-13    0.12501E-16
  4486    0.59932E+00   -0.30004E-01    0.78241E-11   -0.30004E-01    0.20448E-01    0.18363E-13    0.78241E-11    0.18363E-13    0.12488E-16
  4487    0.59829E+00   -0.29988E-01    0.78146E-11   -0.29988E-01    0.20376E-01    0.18961E-13    0.78146E-11    0.18961E-13    0.12476E-16
  4488    0.59723E+00   -0.29971E-01    0.78051E-11   -0.29971E-01    0.20304E-01    0.19555E-13    0.78051E-11    0.19555E-13    0.12464E-16
  4489    0.59620E+00   -0.29951E-01    0.77956E-11   -0.29951E-01    0.20232E-01    0.20147E-13    0.77956E-11    0.20147E-13    0.12451E-16
  4490    0.59515E+00   -0.29928E-01    0.77860E-11   -0.29928E-01    0.20160E-01    0.20735E-13    0.77860E-11    0.20735E-13    0.12439E-16
  4491    0.59410E+00   -0.29902E-01    0.77765E-11   -0.29902E-01    0.20087E-01    0.21320E-13    0.77765E-11    0.21320E-13    0.12427E-16
  4492    0.59306E+00   -0.29875E-01    0.77669E-11   -0.29875E-01    0.20013E-01    0.21901E-13    0.77669E-11    0.21901E-13    0.12415E-16
  4493    0.59202E+00   -0.29845E-01    0.77573E-11   -0.29845E-01    0.19940E-01    0.22480E-13    0.77573E-11    0.22480E-13    0.12402E-16
  4494    0.59098E+00   -0.29811E-01    0.77476E-11   -0.29811E-01    0.19865E-01    0.23055E-13    0.77476E-11    0.23055E-13    0.12390E-16
  4495    0.58993E+00   -0.29776E-01    0.77380E-11   -0.29776E-01    0.19791E-01    0.23626E-13    0.77380E-11    0.23626E-13    0.12378E-16
  4496    0.58888E+00   -0.29738E-01    0.77283E-11   -0.29738E-01    0.19716E-01    0.24194E-13    0.77283E-11    0.24194E-13    0.12366E-16
  4497    0.58783E+00   -0.29696E-01    0.77186E-11   -0.29696E-01    0.19640E-01    0.24758E-13    0.77186E-11    0.24758E-13    0.12353E-16
  4498    0.58678E+00   -0.29653E-01    0.77089E-11   -0.29653E-01    0.19566E-01    0.25318E-13    0.77089E-11    0.25318E-13    0.12341E-16
  4499    0.58573E+00   -0.29606E-01    0.76992E-11   -0.29606E-01    0.19490E-01    0.25874E-13    0.76992E-11    0.25874E-13    0.12329E-16
  4500    0.58467E+00   -0.29557E-01    0.76895E-11   -0.29557E-01    0.19414E-01    0.26427E-13    0.76895E-11    0.26427E-13    0.12317E-16
  4501    0.58362E+00   -0.29506E-01    0.76797E-11   -0.29506E-01    0.19338E-01    0.26976E-13    0.76797E-11    0.26976E-13    0.12305E-16
  4502    0.58255E+00   -0.29451E-01    0.76700E-11   -0.29451E-01    0.19261E-01    0.27520E-13    0.76700E-11    0.27520E-13    0.12293E-16
  4503    0.58150E+00   -0.29395E-01    0.76602E-11   -0.29395E-01    0.19185E-01    0.28061E-13    0.76602E-11    0.28061E-13    0.12281E-16
  4504    0.58044E+00   -0.29336E-01    0.76504E-11   -0.29336E-01    0.19110E-01    0.28597E-13    0.76504E-11    0.28597E-13    0.12268E-16
  4505    0.57937E+00   -0.29273E-01    0.76406E-11   -0.29273E-01    0.19033E-01    0.29130E-13    0.76406E-11    0.29130E-13    0.12256E-16
  4506    0.57830E+00   -0.29209E-01    0.76308E-11   -0.29209E-01    0.18956E-01    0.29658E-13    0.76308E-11    0.29658E-13    0.12244E-16
  4507    0.57722E+00   -0.29142E-01    0.76209E-11   -0.29142E-01    0.18879E-01    0.30182E-13    0.76209E-11    0.30182E-13    0.12232E-16
  4508    0.57615E+00   -0.29072E-01    0.76111E-11   -0.29072E-01    0.18803E-01    0.30702E-13    0.76111E-11    0.30702E-13    0.12220E-16
  4509    0.57507E+00   -0.29000E-01    0.76012E-11   -0.29000E-01    0.18726E-01    0.31217E-13    0.76012E-11    0.31217E-13    0.12208E-16
  4510    0.57399E+00   -0.28925E-01    0.75913E-11   -0.28925E-01    0.18648E-01    0.31729E-13    0.75913E-11    0.31729E-13    0.12196E-16
  4511    0.57290E+00   -0.28846E-01    0.75814E-11   -0.28846E-01    0.18571E-01    0.32236E-13    0.75814E-11    0.32236E-13    0.12184E-16
  4512    0.57181E+00   -0.28767E-01    0.75715E-11   -0.28767E-01    0.18494E-01    0.32738E-13    0.75715E-11    0.32738E-13    0.12172E-16
  4513    0.57072E+00   -0.28683E-01    0.75616E-11   -0.28683E-01    0.18416E-01    0.33237E-13    0.75616E-11    0.33237E-13    0.12160E-16
  4514    0.56962E+00   -0.28599E-01    0.75517E-11   -0.28599E-01    0.18339E-01    0.33730E-13    0.75517E-11    0.33730E-13    0.12148E-16
  4515    0.56852E+00   -0.28511E-01    0.75418E-11   -0.28511E-01    0.18262E-01    0.34220E-13    0.75418E-11    0.34220E-13    0.12136E-16
  4516    0.56742E+00   -0.28420E-01    0.75318E-11   -0.28420E-01    0.18184E-01    0.34705E-13    0.75318E-11    0.34705E-13    0.12124E-16
  4517    0.56631E+00   -0.28329E-01    0.75219E-11   -0.28329E-01    0.18106E-01    0.35185E-13    0.75219E-11    0.35185E-13    0.12113E-16
  4518    0.56520E+00   -0.28233E-01    0.75119E-11   -0.28233E-01    0.18029E-01    0.35661E-13    0.75119E-11    0.35661E-13    0.12101E-16
  4519    0.56408E+00   -0.28135E-01    0.75020E-11   -0.28135E-01    0.17952E-01    0.36132E-13    0.75020E-11    0.36132E-13    0.12089E-16
  4520    0.56296E+00   -0.28036E-01    0.74920E-11   -0.28036E-01    0.17874E-01    0.36599E-13    0.74920E-11    0.36599E-13    0.12077E-16
  4521    0.56183E+00   -0.27934E-01    0.74820E-11   -0.27934E-01    0.17797E-01    0.37060E-13    0.74820E-11    0.37060E-13    0.12065E-16
  4522    0.56070E+00   -0.27829E-01    0.74720E-11   -0.27829E-01    0.17719E-01    0.37518E-13    0.74720E-11    0.37518E-13    0.12053E-16
  4523    0.55958E+00   -0.27722E-01    0.74620E-11   -0.27722E-01    0.17642E-01    0.37970E-13    0.74620E-11    0.37970E-13    0.12041E-16
  4524    0.55843E+00   -0.27613E-01    0.74520E-11   -0.27613E-01    0.17564E-01    0.38418E-13    0.74520E-11    0.38418E-13    0.12030E-16
  4525    0.55729E+00   -0.27502E-01    0.74420E-11   -0.27502E-01    0.17487E-01    0.38861E-13    0.74420E-11    0.38861E-13    0.12018E-16
  4526    0.55614E+00   -0.27388E-01    0.74320E-11   -0.27388E-01    0.17410E-01    0.39299E-13    0.74320E-11    0.39299E-13    0.12006E-16
  4527    0.55500E+00   -0.27273E-01    0.74220E-11   -0.27273E-01    0.17333E-01    0.39732E-13    0.74220E-11    0.39732E-13    0.11994E-16
  4528    0.55384E+00   -0.27155E-01    0.74119E-11   -0.27155E-01    0.17256E-01    0.40160E-13    0.74119E-11    0.40160E-13    0.11982E-16
  4529    0.55268E+00   -0.27035E-01    0.74019E-11   -0.27035E-01    0.17180E-01    0.40584E-13    0.74019E-11    0.40584E-13    0.11971E-16
  4530    0.55151E+00   -0.26914E-01    0.73919E-11   -0.26914E-01    0.17101E-01    0.41002E-13    0.73919E-11    0.41002E-13    0.11959E-16
  4531    0.55033E+00   -0.26790E-01    0.73818E-11   -0.26790E-01    0.17026E-01    0.41416E-13    0.73818E-11    0.41416E-13    0.11947E-16
  4532    0.54916E+00   -0.26663E-01    0.73718E-11   -0.26663E-01    0.16949E-01    0.41824E-13    0.73718E-11    0.41824E-13    0.11936E-16
  4533    0.54797E+00   -0.26535E-01    0.73617E-11   -0.26535E-01    0.16873E-01    0.42227E-13    0.73617E-11    0.42227E-13    0.11924E-16
  4534    0.54680E+00   -0.26406E-01    0.73517E-11   -0.26406E-01    0.16796E-01    0.42625E-13    0.73517E-11    0.42625E-13    0.11912E-16
  4535    0.54559E+00   -0.26273E-01    0.73417E-11   -0.26273E-01    0.16721E-01    0.43018E-13    0.73417E-11    0.43018E-13    0.11900E-16
  4536    0.54439E+00   -0.26139E-01    0.73316E-11   -0.26139E-01    0.16645E-01    0.43406E-13    0.73316E-11    0.43406E-13    0.11889E-16
  4537    0.54319E+00   -0.26003E-01    0.73216E-11   -0.26003E-01    0.16571E-01    0.43789E-13    0.73216E-11    0.43789E-13    0.11877E-16
  4538    0.54198E+00   -0.25866E-01    0.73115E-11   -0.25866E-01    0.16495E-01    0.44166E-13    0.73115E-11    0.44166E-13    0.11866E-16
  4539    0.54076E+00   -0.25727E-01    0.73015E-11   -0.25727E-01    0.16421E-01    0.44538E-13    0.73015E-11    0.44538E-13    0.11854E-16
  4540    0.53954E+00   -0.25587E-01    0.72914E-11   -0.25587E-01    0.16346E-01    0.44905E-13    0.72914E-11    0.44905E-13    0.11842E-16
  4541    0.53831E+00   -0.25443E-01    0.72814E-11   -0.25443E-01    0.16272E-01    0.45266E-13    0.72814E-11    0.45266E-13    0.11831E-16
  4542    0.53708E+00   -0.25300E-01    0.72713E-11   -0.25300E-01    0.16198E-01    0.45622E-13    0.72713E-11    0.45622E-13    0.11819E-16
  4543    0.53584E+00   -0.25154E-01    0.72613E-11   -0.25154E-01    0.16124E-01    0.45973E-13    0.72613E-11    0.45973E-13    0.11808E-16
  4544    0.53459E+00   -0.25007E-01    0.72512E-11   -0.25007E-01    0.16051E-01    0.46318E-13    0.72512E-11    0.46318E-13    0.11796E-16
  4545    0.53333E+00   -0.24858E-01    0.72412E-11   -0.24858E-01    0.15978E-01    0.46657E-13    0.72412E-11    0.46657E-13    0.11785E-16
  4546    0.53208E+00   -0.24709E-01    0.72311E-11   -0.24709E-01    0.15906E-01    0.46991E-13    0.72311E-11    0.46991E-13    0.11773E-16
  4547    0.53081E+00   -0.24557E-01    0.72211E-11   -0.24557E-01    0.15835E-01    0.47320E-13    0.72211E-11    0.47320E-13    0.11762E-16
  4548    0.52954E+00   -0.24404E-01    0.72111E-11   -0.24404E-01    0.15762E-01    0.47643E-13    0.72111E-11    0.47643E-13    0.11750E-16
  4549    0.52825E+00   -0.24250E-01    0.72010E-11   -0.24250E-01    0.15692E-01    0.47960E-13    0.72010E-11    0.47960E-13    0.11739E-16
  4550    0.52697E+00   -0.24095E-01    0.71910E-11   -0.24095E-01    0.15620E-01    0.48272E-13    0.71910E-11    0.48272E-13    0.11727E-16
  4551    0.52568E+00   -0.23939E-01    0.71810E-11   -0.23939E-01    0.15550E-01    0.48578E-13    0.71810E-11    0.48578E-13    0.11716E-16
  4552    0.52438E+00   -0.23781E-01    0.71710E-11   -0.23781E-01    0.15481E-01    0.48878E-13    0.71710E-11    0.48878E-13    0.11704E-16
  4553    0.52308E+00   -0.23623E-01    0.71610E-11   -0.23623E-01    0.15411E-01    0.49173E-13    0.71610E-11    0.49173E-13    0.11693E-16
  4554    0.52176E+00   -0.23463E-01    0.71510E-11   -0.23463E-01    0.15342E-01    0.49461E-13    0.71510E-11    0.49461E-13    0.11681E-16
  4555    0.52045E+00   -0.23302E-01    0.71410E-11   -0.23302E-01    0.15273E-01    0.49745E-13    0.71410E-11    0.49745E-13    0.11670E-16
  4556    0.51913E+00   -0.23141E-01    0.71310E-11   -0.23141E-01    0.15205E-01    0.50022E-13    0.71310E-11    0.50022E-13    0.11659E-16
  4557    0.51779E+00   -0.22978E-01    0.71210E-11   -0.22978E-01    0.15138E-01    0.50294E-13    0.71210E-11    0.50294E-13    0.11647E-16
  4558    0.51646E+00   -0.22814E-01    0.71110E-11   -0.22814E-01    0.15071E-01    0.50561E-13    0.71110E-11    0.50561E-13    0.11636E-16
  4559    0.51511E+00   -0.22649E-01    0.71011E-11   -0.22649E-01    0.15004E-01    0.50821E-13    0.71011E-11    0.50821E-13    0.11625E-16
  4560    0.51376E+00   -0.22484E-01    0.70911E-11   -0.22484E-01    0.14939E-01    0.51076E-13    0.70911E-11    0.51076E-13    0.11613E-16
  4561    0.51241E+00   -0.22317E-01    0.70812E-11   -0.22317E-01    0.14874E-01    0.51326E-13    0.70812E-11    0.51326E-13    0.11602E-16
  4562    0.51105E+00   -0.22150E-01    0.70712E-11   -0.22150E-01    0.14809E-01    0.51570E-13    0.70712E-11    0.51570E-13    0.11591E-16
  4563    0.50968E+00   -0.21983E-01    0.70613E-11   -0.21983E-01    0.14743E-01    0.51808E-13    0.70613E-11    0.51808E-13    0.11579E-16
  4564    0.50831E+00   -0.21813E-01    0.70514E-11   -0.21813E-01    0.14680E-01    0.52041E-13    0.70514E-11    0.52041E-13    0.11568E-16
  4565    0.50693E+00   -0.21644E-01    0.70414E-11   -0.21644E-01    0.14617E-01    0.52268E-13    0.70414E-11    0.52268E-13    0.11557E-16
  4566    0.50554E+00   -0.21473E-01    0.70315E-11   -0.21473E-01    0.14556E-01    0.52490E-13    0.70315E-11    0.52490E-13    0.11545E-16
  4567    0.50415E+00   -0.21304E-01    0.70217E-11   -0.21304E-01    0.14491E-01    0.52706E-13    0.70217E-11    0.52706E-13    0.11534E-16
  4568    0.50276E+00   -0.21132E-01    0.70118E-11   -0.21132E-01    0.14430E-01    0.52917E-13    0.70118E-11    0.52917E-13    0.11523E-16
  4569    0.50135E+00   -0.20960E-01    0.70019E-11   -0.20960E-01    0.14368E-01    0.53122E-13    0.70019E-11    0.53122E-13    0.11512E-16
  4570    0.49994E+00   -0.20788E-01    0.69920E-11   -0.20788E-01    0.14308E-01    0.53322E-13    0.69920E-11    0.53322E-13    0.11501E-16
  4571    0.49852E+00   -0.20616E-01    0.69822E-11   -0.20616E-01    0.14247E-01    0.53516E-13    0.69822E-11    0.53516E-13    0.11489E-16
  4572    0.49710E+00   -0.20442E-01    0.69723E-11   -0.20442E-01    0.14187E-01    0.53705E-13    0.69723E-11    0.53705E-13    0.11478E-16
  4573    0.49567E+00   -0.20269E-01    0.69625E-11   -0.20269E-01    0.14128E-01    0.53888E-13    0.69625E-11    0.53888E-13    0.11467E-16
  4574    0.49424E+00   -0.20096E-01    0.69527E-11   -0.20096E-01    0.14070E-01    0.54066E-13    0.69527E-11    0.54066E-13    0.11456E-16
  4575    0.49281E+00   -0.19921E-01    0.69429E-11   -0.19921E-01    0.14012E-01    0.54238E-13    0.69429E-11    0.54238E-13    0.11445E-16
  4576    0.49137E+00   -0.19747E-01    0.69331E-11   -0.19747E-01    0.13954E-01    0.54405E-13    0.69331E-11    0.54405E-13    0.11434E-16
  4577    0.48991E+00   -0.19572E-01    0.69234E-11   -0.19572E-01    0.13898E-01    0.54567E-13    0.69234E-11    0.54567E-13    0.11423E-16
  4578    0.48846E+00   -0.19397E-01    0.69136E-11   -0.19397E-01    0.13842E-01    0.54723E-13    0.69136E-11    0.54723E-13    0.11411E-16
  4579    0.48699E+00   -0.19223E-01    0.69038E-11   -0.19223E-01    0.13786E-01    0.54873E-13    0.69038E-11    0.54873E-13    0.11400E-16
  4580    0.48554E+00   -0.19048E-01    0.68941E-11   -0.19048E-01    0.13731E-01    0.55019E-13    0.68941E-11    0.55019E-13    0.11389E-16
  4581    0.48406E+00   -0.18874E-01    0.68844E-11   -0.18874E-01    0.13677E-01    0.55159E-13    0.68844E-11    0.55159E-13    0.11378E-16
  4582    0.48259E+00   -0.18698E-01    0.68747E-11   -0.18698E-01    0.13623E-01    0.55293E-13    0.68747E-11    0.55293E-13    0.11367E-16
  4583    0.48111E+00   -0.18523E-01    0.68650E-11   -0.18523E-01    0.13570E-01    0.55423E-13    0.68650E-11    0.55423E-13    0.11356E-16
  4584    0.47963E+00   -0.18349E-01    0.68554E-11   -0.18349E-01    0.13517E-01    0.55547E-13    0.68554E-11    0.55547E-13    0.11345E-16
  4585    0.47814E+00   -0.18175E-01    0.68457E-11   -0.18175E-01    0.13466E-01    0.55665E-13    0.68457E-11    0.55665E-13    0.11334E-16
  4586    0.47665E+00   -0.18001E-01    0.68361E-11   -0.18001E-01    0.13415E-01    0.55778E-13    0.68361E-11    0.55778E-13    0.11323E-16
  4587    0.47514E+00   -0.17828E-01    0.68264E-11   -0.17828E-01    0.13364E-01    0.55886E-13    0.68264E-11    0.55886E-13    0.11312E-16
  4588    0.47365E+00   -0.17655E-01    0.68168E-11   -0.17655E-01    0.13313E-01    0.55989E-13    0.68168E-11    0.55989E-13    0.11301E-16
  4589    0.47214E+00   -0.17481E-01    0.68073E-11   -0.17481E-01    0.13264E-01    0.56087E-13    0.68073E-11    0.56087E-13    0.11290E-16
  4590    0.47063E+00   -0.17309E-01    0.67977E-11   -0.17309E-01    0.13215E-01    0.56179E-13    0.67977E-11    0.56179E-13    0.11279E-16
  4591    0.46911E+00   -0.17137E-01    0.67881E-11   -0.17137E-01    0.13167E-01    0.56266E-13    0.67881E-11    0.56266E-13    0.11268E-16
  4592    0.46760E+00   -0.16966E-01    0.67786E-11   -0.16966E-01    0.13119E-01    0.56347E-13    0.67786E-11    0.56347E-13    0.11257E-16
  4593    0.46609E+00   -0.16795E-01    0.67691E-11   -0.16795E-01    0.13072E-01    0.56423E-13    0.67691E-11    0.56423E-13    0.11247E-16
  4594    0.46455E+00   -0.16624E-01    0.67596E-11   -0.16624E-01    0.13026E-01    0.56495E-13    0.67596E-11    0.56495E-13    0.11236E-16
  4595    0.46303E+00   -0.16455E-01    0.67502E-11   -0.16455E-01    0.12980E-01    0.56561E-13    0.67502E-11    0.56561E-13    0.11225E-16
  4596    0.46150E+00   -0.16287E-01    0.67407E-11   -0.16287E-01    0.12935E-01    0.56621E-13    0.67407E-11    0.56621E-13    0.11214E-16
  4597    0.45998E+00   -0.16118E-01    0.67313E-11   -0.16118E-01    0.12890E-01    0.56677E-13    0.67313E-11    0.56677E-13    0.11203E-16
  4598    0.45843E+00   -0.15952E-01    0.67219E-11   -0.15952E-01    0.12846E-01    0.56727E-13    0.67219E-11    0.56727E-13    0.11192E-16
  4599    0.45690E+00   -0.15785E-01    0.67125E-11   -0.15785E-01    0.12803E-01    0.56772E-13    0.67125E-11    0.56772E-13    0.11181E-16
  4600    0.45536E+00   -0.15621E-01    0.67031E-11   -0.15621E-01    0.12762E-01    0.56812E-13    0.67031E-11    0.56812E-13    0.11171E-16
  4601    0.45381E+00   -0.15457E-01    0.66938E-11   -0.15457E-01    0.12718E-01    0.56847E-13    0.66938E-11    0.56847E-13    0.11160E-16
  4602    0.45225E+00   -0.15293E-01    0.66844E-11   -0.15293E-01    0.12677E-01    0.56877E-13    0.66844E-11    0.56877E-13    0.11149E-16
  4603    0.45069E+00   -0.15132E-01    0.66751E-11   -0.15132E-01    0.12637E-01    0.56901E-13    0.66751E-11    0.56901E-13    0.11138E-16
  4604    0.44914E+00   -0.14970E-01    0.66659E-11   -0.14970E-01    0.12597E-01    0.56921E-13    0.66659E-11    0.56921E-13    0.11127E-16
  4605    0.44759E+00   -0.14811E-01    0.66566E-11   -0.14811E-01    0.12557E-01    0.56935E-13    0.66566E-11    0.56935E-13    0.11117E-16
  4606    0.44603E+00   -0.14655E-01    0.66474E-11   -0.14655E-01    0.12518E-01    0.56945E-13    0.66474E-11    0.56945E-13    0.11106E-16
  4607    0.44448E+00   -0.14495E-01    0.66382E-11   -0.14495E-01    0.12480E-01    0.56950E-13    0.66382E-11    0.56950E-13    0.11095E-16
  4608    0.44292E+00   -0.14340E-01    0.66290E-11   -0.14340E-01    0.12442E-01    0.56949E-13    0.66290E-11    0.56949E-13    0.11084E-16
  4609    0.44135E+00   -0.14185E-01    0.66198E-11   -0.14185E-01    0.12406E-01    0.56944E-13    0.66198E-11    0.56944E-13    0.11074E-16
  4610    0.43979E+00   -0.14031E-01    0.66107E-11   -0.14031E-01    0.12369E-01    0.56933E-13    0.66107E-11    0.56933E-13    0.11063E-16
  4611    0.43822E+00   -0.13879E-01    0.66015E-11   -0.13879E-01    0.12334E-01    0.56918E-13    0.66015E-11    0.56918E-13    0.11052E-16
  4612    0.43665E+00   -0.13728E-01    0.65924E-11   -0.13728E-01    0.12299E-01    0.56898E-13    0.65924E-11    0.56898E-13    0.11042E-16
  4613    0.43509E+00   -0.13578E-01    0.65834E-11   -0.13578E-01    0.12264E-01    0.56874E-13    0.65834E-11    0.56874E-13    0.11031E-16
  4614    0.43351E+00   -0.13430E-01    0.65743E-11   -0.13430E-01    0.12231E-01    0.56844E-13    0.65743E-11    0.56844E-13    0.11020E-16
  4615    0.43194E+00   -0.13283E-01    0.65653E-11   -0.13283E-01    0.12197E-01    0.56810E-13    0.65653E-11    0.56810E-13    0.11010E-16
  4616    0.43036E+00   -0.13137E-01    0.65563E-11   -0.13137E-01    0.12164E-01    0.56771E-13    0.65563E-11    0.56771E-13    0.10999E-16
  4617    0.42879E+00   -0.12993E-01    0.65473E-11   -0.12993E-01    0.12132E-01    0.56727E-13    0.65473E-11    0.56727E-13    0.10989E-16
  4618    0.42722E+00   -0.12850E-01    0.65384E-11   -0.12850E-01    0.12101E-01    0.56679E-13    0.65384E-11    0.56679E-13    0.10978E-16
  4619    0.42564E+00   -0.12709E-01    0.65295E-11   -0.12709E-01    0.12071E-01    0.56626E-13    0.65295E-11    0.56626E-13    0.10967E-16
  4620    0.42407E+00   -0.12568E-01    0.65206E-11   -0.12568E-01    0.12040E-01    0.56568E-13    0.65206E-11    0.56568E-13    0.10957E-16
  4621    0.42250E+00   -0.12430E-01    0.65117E-11   -0.12430E-01    0.12011E-01    0.56506E-13    0.65117E-11    0.56506E-13    0.10946E-16
  4622    0.42092E+00   -0.12294E-01    0.65028E-11   -0.12294E-01    0.11981E-01    0.56439E-13    0.65028E-11    0.56439E-13    0.10936E-16
  4623    0.41934E+00   -0.12158E-01    0.64940E-11   -0.12158E-01    0.11953E-01    0.56368E-13    0.64940E-11    0.56368E-13    0.10925E-16
  4624    0.41777E+00   -0.12024E-01    0.64852E-11   -0.12024E-01    0.11924E-01    0.56292E-13    0.64852E-11    0.56292E-13    0.10915E-16
  4625    0.41619E+00   -0.11892E-01    0.64764E-11   -0.11892E-01    0.11897E-01    0.56212E-13    0.64764E-11    0.56212E-13    0.10904E-16
