#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    56    0.15363E+04   -0.80269E+00    0.12798E-04   -0.80269E+00    0.17368E+00   -0.13948E-07    0.12798E-04   -0.13948E-07    0.42173E-10
    57    0.15573E+04   -0.10757E+01    0.12347E-04   -0.10757E+01    0.18346E+00   -0.11827E-07    0.12347E-04   -0.11827E-07    0.40536E-10
    58    0.15786E+04   -0.13614E+01    0.11921E-04   -0.13614E+01    0.19342E+00   -0.94892E-08    0.11921E-04   -0.94892E-08    0.38982E-10
    59    0.16001E+04   -0.16607E+01    0.11515E-04   -0.16607E+01    0.20357E+00   -0.73974E-08    0.11515E-04   -0.73974E-08    0.37506E-10
    60    0.16218E+04   -0.19730E+01    0.11128E-04   -0.19730E+01    0.21399E+00   -0.60156E-08    0.11128E-04   -0.60156E-08    0.36103E-10
    61    0.16439E+04   -0.22974E+01    0.10755E-04   -0.22974E+01    0.22475E+00   -0.56804E-08    0.10755E-04   -0.56804E-08    0.34768E-10
    62    0.16659E+04   -0.26351E+01    0.10398E-04   -0.26351E+01    0.23585E+00   -0.62189E-08    0.10398E-04   -0.62189E-08    0.33497E-10
    63    0.16880E+04   -0.29869E+01    0.10053E-04   -0.29869E+01    0.24724E+00   -0.73311E-08    0.10053E-04   -0.73311E-08    0.32286E-10
    64    0.17106E+04   -0.33541E+01    0.97230E-05   -0.33541E+01    0.25895E+00   -0.87169E-08    0.97230E-05   -0.87169E-08    0.31133E-10
    65    0.17331E+04   -0.37375E+01    0.94056E-05   -0.37375E+01    0.27094E+00   -0.10076E-07    0.94056E-05   -0.10076E-07    0.30033E-10
    66    0.17560E+04   -0.41352E+01    0.91012E-05   -0.41352E+01    0.28316E+00   -0.11160E-07    0.91012E-05   -0.11160E-07    0.28984E-10
    67    0.17791E+04   -0.45445E+01    0.88095E-05   -0.45445E+01    0.29560E+00   -0.11929E-07    0.88095E-05   -0.11929E-07    0.27982E-10
    68    0.18025E+04   -0.49639E+01    0.85306E-05   -0.49639E+01    0.30830E+00   -0.12392E-07    0.85306E-05   -0.12392E-07    0.27026E-10
    69    0.18262E+04   -0.53917E+01    0.82646E-05   -0.53917E+01    0.32122E+00   -0.12561E-07    0.82646E-05   -0.12561E-07    0.26112E-10
